genome,strain_name,name,species
GCF_001435975.1,DSM 20515,Lactobacillus collinoides,Lactobacillus collinoides
GCF_001435955.1,DSM 20555,Lactobacillus salivarius,Lactobacillus salivarius
GCF_001435935.1,DSM 6035,Lactobacillus panis,Lactobacillus panis
GCF_001435915.1,DSM 5837,Lactobacillus vaginalis,Lactobacillus vaginalis
GCF_001435895.1,DSM 18390,Lactobacillus parafarraginis,Lactobacillus parafarraginis
GCF_001435875.1,DSM 18382,Lactobacillus farraginis,Lactobacillus farraginis
GCF_001435835.1,DSM 17758,Lactobacillus concavus,Lactobacillus concavus
GCF_001436225.1,DSM 20505,Lactobacillus sharpeae,Lactobacillus sharpeae
GCF_001436215.1,DSM 20509,Lactobacillus agilis,Lactobacillus agilis
GCF_001436185.1,DSM 20533,Lactobacillus amylophilus,Lactobacillus amylophilus
GCF_001436135.1,DSM 22698,Lactobacillus thailandensis,Lactobacillus thailandensis
GCF_001436125.1,DSM 23910,Lactobacillus hominis,Lactobacillus hominis
GCF_001436115.1,DSM 23927,Lactobacillus brantae,Lactobacillus brantae
GCF_001436095.1,DSM 20335,Lactobacillus dextrinicus,Lactobacillus dextrinicus
GCF_001436035.1,DSM 20451,Lactobacillus sanfranciscensis,Lactobacillus sanfranciscensis
GCF_001436045.1,DSM 13145,Lactobacillus frumenti,Lactobacillus frumenti
GCF_001436415.1,DSM 20719,Lactobacillus graminis,Lactobacillus graminis
GCF_001436385.1,DSM 5622,Lactobacillus paracasei subsp. paracasei,Lactobacillus paracasei
GCF_001436395.1,DSM 5705,Lactobacillus malefermentans,Lactobacillus malefermentans
GCF_001436375.1,DSM 18527,Lactobacillus composti,Lactobacillus composti
GCF_001436325.1,DSM 16991,Lactobacillus harbinensis,Lactobacillus harbinensis
GCF_001436315.1,DSM 20655,Lactobacillus aviarius subsp. aviarius,Lactobacillus aviarius
GCF_001436295.1,DSM 20634,Lactobacillus vaccinostercus,Lactobacillus vaccinostercus
GCF_001436305.1,DSM 16047,Lactobacillus ultunensis,Lactobacillus ultunensis
GCF_001436275.1,DSM 19972,Lactobacillus oeni,Lactobacillus oeni
GCF_001436255.1,DSM 19907,Lactobacillus rapi,Lactobacillus rapi
GCF_001436615.1,DSM 22697,Lactobacillus camelliae,Lactobacillus camelliae
GCF_001436595.1,DSM 23365,Lactobacillus similis,Lactobacillus similis
GCF_001436605.1,DSM 23037,Lactobacillus floricola,Lactobacillus floricola
GCF_001436575.1,DSM 23908,Lactobacillus gigeriorum,Lactobacillus gigeriorum
GCF_001436555.1,DSM 24302,Lactobacillus senioris,Lactobacillus senioris
GCF_001436535.1,DSM 20444,Lactobacillus mali,Lactobacillus mali
GCF_001436505.1,DSM 20253,Lactobacillus rennini,Lactobacillus rennini
GCF_001436485.1,DSM 20258,Lactobacillus paracasei subsp. tolerans,Lactobacillus paracasei
GCF_001436475.1,DSM 20403,Lactobacillus ruminis,Lactobacillus ruminis
GCF_001436455.1,DSM 20557,Lactobacillus jensenii,Lactobacillus jensenii
GCF_001436835.1,DSM 20055,Lactobacillus fermentum,Lactobacillus fermentum
GCF_001436805.1,ATCC BAA-66,Lactobacillus selangorensis,Lactobacillus selangorensis
GCF_001436775.1,DSM 20749,Lactobacillus acetotolerans,Lactobacillus acetotolerans
GCF_001436755.1,DSM 21051,Lactobacillus aquaticus,Lactobacillus aquaticus
GCF_001436735.1,DSM 21116,Lactobacillus cacaonum,Lactobacillus cacaonum
GCF_001436705.1,DSM 21376,Lactobacillus sucicola,Lactobacillus sucicola
GCF_001436695.1,DSM 21401,Lactobacillus taiwanensis,Lactobacillus taiwanensis
GCF_001436675.1,DSM 21775,Lactobacillus senmaizukei,Lactobacillus senmaizukei
GCF_001436645.1,DSM 22689,Lactobacillus florum,Lactobacillus florum
GCF_001437115.1,DSM 19927,Pediococcus lolii,Pediococcus lolii
GCF_001437075.1,DSM 18001,Pediococcus stilesii,Pediococcus stilesii
GCF_001437055.1,DSM 17896,Lactobacillus secaliphilus,Lactobacillus secaliphilus
GCF_001436985.1,DSM 20571,Lactobacillus homohiochii,Lactobacillus homohiochii
GCF_001436905.1,DSM 14800,Pediococcus claussenii,Pediococcus claussenii
GCF_001436895.1,DSM 20196,Weissella confusa,Weissella confusa
GCF_001436865.1,DSM 20190,Weissella halotolerans,Weissella halotolerans
GCF_001437355.1,DSM 20410,Weissella viridescens,Weissella viridescens
GCF_001437285.1,DSM 20336,Pediococcus pentosaceus,Pediococcus pentosaceus
GCF_001437255.1,DSM 20331,Pediococcus damnosus,Pediococcus damnosus
GCF_001437205.1,DSM 13344,Lactobacillus selangorensis,Lactobacillus selangorensis
GCF_001437195.1,DSM 20081,Lactobacillus delbrueckii subsp. bulgaricus,Lactobacillus delbrueckii
GCF_001437125.1,DSM 22467,Lactobacillus paucivorans,Lactobacillus paucivorans
GCF_001437605.1,DSM 23026,Pediococcus argentinicus,Pediococcus argentinicus
GCF_001437515.1,LMG 11984,Lactobacillus parabrevis,Lactobacillus parabrevis
GCF_001437505.1,DSM 26202,Lactobacillus hokkaidonensis,Lactobacillus hokkaidonensis
GCF_001437485.1,DSM 26046,Lactobacillus delbrueckii subsp. jakobsenii,Lactobacillus delbrueckii
GCF_001437465.1,DSM 24301,Lactobacillus saniviri,Lactobacillus saniviri
GCF_001437435.1,DSM 22696,Lactobacillus siliginis,Lactobacillus siliginis
GCF_001437425.1,DSM 20014,Weissella minor,Weissella minor
GCF_001437405.1,DSM 22301,Pediococcus ethanolidurans,Pediococcus ethanolidurans
GCF_001438865.1,NBRC 103219,Lactobacillus pobuzihii,Lactobacillus pobuzihii
GCF_001438845.1,LMG 26013,Lactobacillus xiangfangensis,Lactobacillus xiangfangensis
GCF_001438825.1,LMG 23699,Lactobacillus crustorum,Lactobacillus crustorum
GCF_001438805.1,DSM 24716,Lactobacillus kimchiensis,Lactobacillus kimchiensis
GCF_001438785.1,DSM 22408,Lactobacillus ceti,Lactobacillus ceti
GCF_001438725.1,DSM 20285,Pediococcus inopinatus,Pediococcus inopinatus
GCF_001438695.1,DSM 20349,Fructobacillus fructosus,Fructobacillus fructosus
GCF_001438705.1,DSM 20593,Weissella kandleri,Weissella kandleri
GCF_001438685.1,DSM 20690,Lactobacillus lindneri,Lactobacillus lindneri
GCF_001438655.1,DSM 17757,Pediococcus cellicola,Pediococcus cellicola
GCF_001460875.1,NCDO 1655,Weissella viridescens,Weissella viridescens
GCF_001570685.1,NRIC 0697,Lactobacillus equigenerosi,Lactobacillus equigenerosi
GCF_001592085.1,NBRC 103853,Lactobacillus senmaizukei,Lactobacillus senmaizukei
GCF_001591905.1,NBRC 102161,Lactobacillus ruminis,Lactobacillus ruminis
